"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1967","get started link","chromium","2026-06-07","passed","2026-06-07","","example.spec.ts","",""
"","1146","TC03_EditEmp","chromium","2026-06-09","failed","2026-06-09","List of Test Suite for 69Batch","Listpage_Testsuite.spec.ts","",""
"","19671","TC05_ResetEmpDetails","chromium","2026-06-07","passed","2026-06-07","","TC05_ResetEmpDetails.spec.ts","",""
"","22527","TC04_DeleteEmp","chromium","2026-06-07","passed","2026-06-07","","TC04_DeleteEmp.spec.ts","",""
"","20326","smoke_ResetEmpDetails","chromium","2026-06-08","passed","2026-06-08","List of Test Suite for 69Batch","Listpage_Testsuite.spec.ts","",""
"","22722","TC06_EmpList","chromium","2026-06-07","passed","2026-06-07","","TC06_EmpList.spec.ts","",""
"","30222","TC04_DeleteEmp","chromium","2026-06-09","broken","2026-06-09","List of Test Suite for 69Batch","Listpage_Testsuite.spec.ts","",""
"","30196","TC05_ResetEmpDetails_regress","chromium","2026-06-08","broken","2026-06-08","List of Test Suite for 69Batch","Listpage_Testsuite.spec.ts","",""
"","22719","smoke_EmpList","chromium","2026-06-08","passed","2026-06-08","List of Test Suite for 69Batch","Listpage_Testsuite.spec.ts","",""
"","14068","TC07_Bug Reporter","chromium","2026-06-07","passed","2026-06-07","","TC07_BugReport.spec.ts","",""
"","17298","TC01_Login_Logout","chromium","2026-06-09","passed","2026-06-09","List of Test Suite for 69Batch","Listpage_Testsuite.spec.ts","",""
"","1082","TC05_ResetEmpDetails","chromium","2026-06-09","failed","2026-06-09","List of Test Suite for 69Batch","Listpage_Testsuite.spec.ts","",""
"","18578","TC01_Login_Logout","chromium","2026-06-09","passed","2026-06-09","","TC01_Login_Logout.spec.ts","",""
"","21113","TC03_EditEmp","chromium","2026-06-07","passed","2026-06-07","","TC03_EditEmp.spec.ts","",""
"","26647","TC06_EmpList","chromium","2026-06-09","passed","2026-06-09","List of Test Suite for 69Batch","Listpage_Testsuite.spec.ts","",""
"","2075","has title","chromium","2026-06-07","passed","2026-06-07","","example.spec.ts","",""
"","19621","TC02_Addemp","chromium","2026-06-09","passed","2026-06-09","List of Test Suite for 69Batch","Listpage_Testsuite.spec.ts","",""
"","17596","TC02_Addemp","chromium","2026-06-07","passed","2026-06-07","","TC02_Addemp.spec.ts","",""
"","17604","TC07_Bug Reporter","chromium","2026-06-09","passed","2026-06-09","List of Test Suite for 69Batch","Listpage_Testsuite.spec.ts","",""
"","13348","TC07_Bug Reporter_regress","chromium","2026-06-08","passed","2026-06-08","List of Test Suite for 69Batch","Listpage_Testsuite.spec.ts","",""
